id	GENE_ID	GO_PRO
SO1C1	SLCO1C1	basolateral plasma membrane [GO:0016323]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; bile acid transmembrane transporter activity [GO:0015125]; sodium-independent organic anion transmembrane transporter activity [GO:0015347]; thyroid hormone transmembrane transporter activity [GO:0015349]; bile acid and bile salt transport [GO:0015721]; positive regulation of thyroid hormone generation [GO:2000611]; sodium-independent organic anion transport [GO:0043252]; thyroid hormone transport [GO:0070327]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]
CTSR1	CATSPER1	CatSper complex [GO:0036128]; motile cilium [GO:0031514]; plasma membrane [GO:0005886]; calcium activated cation channel activity [GO:0005227]; voltage-gated calcium channel activity [GO:0005245]; calcium ion transport [GO:0006816]; cell differentiation [GO:0030154]; flagellated sperm motility [GO:0030317]; regulation of cilium beat frequency involved in ciliary motility [GO:0060296]; regulation of ion transmembrane transport [GO:0034765]; spermatogenesis [GO:0007283]
CTSR2	CATSPER2	CatSper complex [GO:0036128]; motile cilium [GO:0031514]; plasma membrane [GO:0005886]; calcium activated cation channel activity [GO:0005227]; calcium channel activity [GO:0005262]; voltage-gated ion channel activity [GO:0005244]; fertilization [GO:0009566]; flagellated sperm motility [GO:0030317]; regulation of ion transmembrane transport [GO:0034765]; sperm capacitation [GO:0048240]
CTSR3	CATSPER3	acrosomal vesicle [GO:0001669]; CatSper complex [GO:0036128]; endoplasmic reticulum [GO:0005783]; motile cilium [GO:0031514]; plasma membrane [GO:0005886]; voltage-gated calcium channel activity [GO:0005245]; flagellated sperm motility [GO:0030317]; regulation of ion transmembrane transport [GO:0034765]; sodium ion transport [GO:0006814]; sperm capacitation [GO:0048240]
CTSR4	CATSPER4	acrosomal vesicle [GO:0001669]; CatSper complex [GO:0036128]; plasma membrane [GO:0005886]; sperm principal piece [GO:0097228]; calcium activated cation channel activity [GO:0005227]; voltage-gated calcium channel activity [GO:0005245]; flagellated sperm motility [GO:0030317]; regulation of ion transmembrane transport [GO:0034765]; sodium ion transport [GO:0006814]; sperm capacitation [GO:0048240]
IOD1	DIO1	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; selenium binding [GO:0008430]; thyroxine 5'-deiodinase activity [GO:0004800]; cellular amino acid metabolic process [GO:0006520]; hormone biosynthetic process [GO:0042446]; thyroid hormone generation [GO:0006590]; thyroid hormone metabolic process [GO:0042403]
ITB2	ITGB2	integrin complex [GO:0008305]; signaling receptor activity [GO:0038023]; cell-matrix adhesion [GO:0007160]; integrin-mediated signaling pathway [GO:0007229]
S19A2	SLC19A2	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; folic acid transmembrane transporter activity [GO:0008517]; thiamine transmembrane transporter activity [GO:0015234]; thiamine transmembrane transport [GO:0071934]; thiamine transport [GO:0015888]; thiamine-containing compound metabolic process [GO:0042723]; transmembrane transport [GO:0055085]
S19A3	SLC19A3	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; thiamine transmembrane transporter activity [GO:0015234]; thiamine transmembrane transport [GO:0071934]; thiamine-containing compound metabolic process [GO:0042723]; transmembrane transport [GO:0055085]
VIAAT	SLC32A1	cell surface [GO:0009986]; cell tip [GO:0051286]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; cone cell pedicle [GO:0044316]; dendrite [GO:0030425]; dendrite terminus [GO:0044292]; GABA-ergic synapse [GO:0098982]; inhibitory synapse [GO:0060077]; integral component of synaptic vesicle membrane [GO:0030285]; neuron projection [GO:0043005]; neuron projection terminus [GO:0044306]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]; synaptic vesicle membrane [GO:0030672]; amino acid transmembrane transporter activity [GO:0015171]; gamma-aminobutyric acid:proton symporter activity [GO:0015495]; glycine transmembrane transporter activity [GO:0015187]; aging [GO:0007568]; hippocampus development [GO:0021766]; ion transport [GO:0006811]; neurotransmitter loading into synaptic vesicle [GO:0098700]; neurotransmitter secretion [GO:0007269]
CA2D3	CACNA2D3	voltage-gated calcium channel complex [GO:0005891]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]; regulation of ion transmembrane transport [GO:0034765]
CA2D4	CACNA2D4	voltage-gated calcium channel complex [GO:0005891]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]; calcium ion transmembrane transport [GO:0070588]; detection of light stimulus involved in visual perception [GO:0050908]; regulation of ion transmembrane transport [GO:0034765]
KCNJ1	KCNJ1	plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]; ATP binding [GO:0005524]; ATP-activated inward rectifier potassium channel activity [GO:0015272]; inward rectifier potassium channel activity [GO:0005242]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; excretion [GO:0007588]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transport [GO:0006813]; regulation of ion transmembrane transport [GO:0034765]
CA2D2	CACNA2D2	plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]; regulation of ion transmembrane transport [GO:0034765]
SCN2B	SCN2B	plasma membrane [GO:0005886]; synapse [GO:0045202]; voltage-gated sodium channel complex [GO:0001518]; sodium channel regulator activity [GO:0017080]; voltage-gated ion channel activity [GO:0005244]; voltage-gated sodium channel activity involved in cardiac muscle cell action potential [GO:0086006]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cardiac muscle contraction [GO:0060048]; chemical synaptic transmission [GO:0007268]; membrane depolarization during cardiac muscle cell action potential [GO:0086012]; nervous system development [GO:0007399]; regulation of atrial cardiac muscle cell membrane depolarization [GO:0060371]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of sodium ion transmembrane transporter activity [GO:2000649]; response to pyrethroid [GO:0046684]; sodium ion transmembrane transport [GO:0035725]
CAC1E	CACNA1E	plasma membrane [GO:0005886]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891]; calcium ion binding [GO:0005509]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated cation channel activity [GO:0022843]; calcium ion import [GO:0070509]; calcium ion transport [GO:0006816]; chemical synaptic transmission [GO:0007268]; regulation of ion transmembrane transport [GO:0034765]
CAC1B	CACNA1B	plasma membrane [GO:0005886]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891]; amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; high voltage-gated calcium channel activity [GO:0008331]; protein C-terminus binding [GO:0008022]; voltage-gated calcium channel activity [GO:0005245]; calcium ion import [GO:0070509]; calcium ion transport [GO:0006816]; chemical synaptic transmission [GO:0007268]; modulation of chemical synaptic transmission [GO:0050804]; regulation of ion transmembrane transport [GO:0034765]; response to amyloid-beta [GO:1904645]
CACB1	CACNB1	plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891]; high voltage-gated calcium channel activity [GO:0008331]; voltage-gated calcium channel activity [GO:0005245]; cellular response to amyloid-beta [GO:1904646]; chemical synaptic transmission [GO:0007268]; neuromuscular junction development [GO:0007528]; regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1902514]; regulation of voltage-gated calcium channel activity [GO:1901385]
PDE6C	PDE6C	plasma membrane [GO:0005886]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cGMP binding [GO:0030553]; metal ion binding [GO:0046872]; phototransduction, visible light [GO:0007603]; retinal cone cell development [GO:0046549]; signal transduction [GO:0007165]; visual perception [GO:0007601]
CNCG	PDE6H	photoreceptor outer segment membrane [GO:0042622]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; cGMP binding [GO:0030553]; enzyme inhibitor activity [GO:0004857]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of MAPK cascade [GO:0043410]; response to stimulus [GO:0050896]; visual perception [GO:0007601]
CNRG	PDE6G	photoreceptor disc membrane [GO:0097381]; photoreceptor outer segment membrane [GO:0042622]; plasma membrane [GO:0005886]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; cGMP binding [GO:0030553]; enzyme inhibitor activity [GO:0004857]; spectrin binding [GO:0030507]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of MAPK cascade [GO:0043410]; response to stimulus [GO:0050896]; visual perception [GO:0007601]
PDE6A	PDE6A	photoreceptor disc membrane [GO:0097381]; photoreceptor outer segment membrane [GO:0042622]; plasma membrane [GO:0005886]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; retina development in camera-type eye [GO:0060041]; signal transduction [GO:0007165]; visual perception [GO:0007601]
PDE6B	PDE6B	photoreceptor disc membrane [GO:0097381]; photoreceptor outer segment membrane [GO:0042622]; plasma membrane [GO:0005886]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; entrainment of circadian clock by photoperiod [GO:0043153]; phototransduction, visible light [GO:0007603]; retina development in camera-type eye [GO:0060041]; retinal cell apoptotic process [GO:1990009]; signal transduction [GO:0007165]; visual perception [GO:0007601]
NMD3B	GRIN3B	neuronal cell body [GO:0043025]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; calcium channel activity [GO:0005262]; cation channel activity [GO:0005261]; glycine binding [GO:0016594]; ionotropic glutamate receptor activity [GO:0004970]; ligand-gated ion channel activity [GO:0015276]; neurotransmitter binding [GO:0042165]; neurotransmitter receptor activity [GO:0030594]; signaling receptor activity [GO:0038023]; ionotropic glutamate receptor signaling pathway [GO:0035235]; protein insertion into membrane [GO:0051205]; regulation of calcium ion transport [GO:0051924]
CAC1I	CACNA1I	neuron projection [GO:0043005]; voltage-gated calcium channel complex [GO:0005891]; voltage-gated sodium channel complex [GO:0001518]; low voltage-gated calcium channel activity [GO:0008332]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated sodium channel activity [GO:0005248]; calcium ion import [GO:0070509]; flagellated sperm motility [GO:0030317]; membrane depolarization during action potential [GO:0086010]; neuronal action potential [GO:0019228]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; regulation of ion transmembrane transport [GO:0034765]; signal transduction [GO:0007165]; sleep [GO:0030431]
KCNN4	KCNN4	neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; voltage-gated potassium channel complex [GO:0008076]; calcium-activated potassium channel activity [GO:0015269]; calmodulin binding [GO:0005516]; Intermediate conductance calcium-activated potassium channel activity [GO:0022894]; potassium channel activity [GO:0005267]; protein phosphatase binding [GO:0019903]; small conductance calcium-activated potassium channel activity [GO:0016286]; calcium ion transport [GO:0006816]; cell volume homeostasis [GO:0006884]; defense response [GO:0006952]; immune system process [GO:0002376]; ion transport [GO:0006811]; phospholipid translocation [GO:0045332]; positive regulation of potassium ion transmembrane transport [GO:1901381]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell receptor signaling pathway [GO:0050862]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; saliva secretion [GO:0046541]; stabilization of membrane potential [GO:0030322]
ADX	FDX1	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]; cellular response to cAMP [GO:0071320]; cellular response to forskolin [GO:1904322]; cholesterol metabolic process [GO:0008203]; hormone biosynthetic process [GO:0042446]; steroid biosynthetic process [GO:0006694]
ALAT2	GPT2	mitochondrial matrix [GO:0005759]; L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]; 2-oxoglutarate metabolic process [GO:0006103]; biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]; L-alanine metabolic process [GO:0042851]
C11B2	CYP11B2	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; corticosterone 18-monooxygenase activity [GO:0047783]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; steroid 11-beta-monooxygenase activity [GO:0004507]; steroid hydroxylase activity [GO:0008395]; aldosterone biosynthetic process [GO:0032342]; C21-steroid hormone biosynthetic process [GO:0006700]; cellular response to hormone stimulus [GO:0032870]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to potassium ion [GO:0035865]; cholesterol metabolic process [GO:0008203]; cortisol biosynthetic process [GO:0034651]; cortisol metabolic process [GO:0034650]; glucocorticoid biosynthetic process [GO:0006704]; mineralocorticoid biosynthetic process [GO:0006705]; potassium ion homeostasis [GO:0055075]; regulation of blood volume by renal aldosterone [GO:0002017]; renal water homeostasis [GO:0003091]; sodium ion homeostasis [GO:0055078]; sterol metabolic process [GO:0016125]
C11B1	CYP11B1	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; corticosterone 18-monooxygenase activity [GO:0047783]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; steroid 11-beta-monooxygenase activity [GO:0004507]; aldosterone biosynthetic process [GO:0032342]; C21-steroid hormone biosynthetic process [GO:0006700]; cellular response to hormone stimulus [GO:0032870]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to potassium ion [GO:0035865]; cholesterol metabolic process [GO:0008203]; cortisol biosynthetic process [GO:0034651]; cortisol metabolic process [GO:0034650]; glucocorticoid biosynthetic process [GO:0006704]; glucose homeostasis [GO:0042593]; immune response [GO:0006955]; regulation of blood pressure [GO:0008217]; sterol metabolic process [GO:0016125]
NU1M	MT-ND1	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]
CP11A	CYP11A1	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; cholesterol monooxygenase (side-chain-cleaving) activity [GO:0008386]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; C21-steroid hormone biosynthetic process [GO:0006700]; cellular response to peptide hormone stimulus [GO:0071375]; cholesterol metabolic process [GO:0008203]; cortisol metabolic process [GO:0034650]; glucocorticoid biosynthetic process [GO:0006704]; sterol metabolic process [GO:0016125]; vitamin D metabolic process [GO:0042359]
MGMT	MGMT	membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; calcium ion binding [GO:0005509]; DNA binding [GO:0003677]; DNA-methyltransferase activity [GO:0009008]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; methyltransferase activity [GO:0008168]; cellular response to ionizing radiation [GO:0071479]; cellular response to organic cyclic compound [GO:0071407]; cellular response to oxidative stress [GO:0034599]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA ligation [GO:0006266]; DNA repair [GO:0006281]; mammary gland epithelial cell differentiation [GO:0060644]; negative regulation of apoptotic process [GO:0043066]; positive regulation of double-strand break repair [GO:2000781]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; response to ethanol [GO:0045471]; response to folic acid [GO:0051593]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]
